
  Vtrue,_ktas |   _Vind,_kias |   Vtrue,__mph |   _Vind,__mph |   __VVI,__fpm |   Vtotl,_ktas |   Vtotl,__mph |   _Mach,ratio |   Gload,norml |   Gload,axial |   Gload,_side |   _Qdot,_d/ss |   _Pdot,_d/ss |   _Rdot,_d/ss |   ____Q,__d/s |   ____P,__d/s |   ____R,__d/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   __alt,__ind |   __lat,south |   __lon,_west | 
    301.38434 |     233.77994 |     346.82690 |     269.02914 |    1951.12866 |     301.38434 |     346.82690 |       0.47908 |       0.98410 |       0.15441 |       0.00002 |      -0.00277 |       0.01355 |       0.00049 |      -0.01019 |       0.00014 |       0.00007 |       8.24847 |       0.14694 |     337.23724 |     342.10968 |     342.17181 |       4.87245 |      26.21512 |     -80.42455 |   17441.71289 |   17399.30664 |   17398.96289 |      25.00000 |     -82.00000 | 
    301.54599 |     233.78052 |     347.01294 |     269.02982 |    1947.39661 |     301.54599 |     347.01294 |       0.47939 |       0.98411 |       0.15425 |       0.00002 |      -0.00145 |       0.01357 |       0.00034 |      -0.01046 |       0.00016 |       0.00006 |       8.23769 |       0.14693 |     337.23730 |     342.10962 |     342.17157 |       4.87231 |      26.21640 |     -80.42515 |   17474.24219 |   17432.42188 |   17431.49609 |      25.00000 |     -82.00000 | 
    301.70755 |     233.78108 |     347.19885 |     269.03049 |    1943.68579 |     301.70755 |     347.19885 |       0.47971 |       0.98418 |       0.15409 |       0.00002 |      -0.00273 |       0.01386 |       0.00033 |      -0.01050 |       0.00016 |      -0.00001 |       8.22729 |       0.14691 |     337.23734 |     342.10950 |     342.17130 |       4.87217 |      26.21768 |     -80.42574 |   17506.67773 |   17465.10938 |   17463.93555 |      25.00000 |     -82.00000 | 
    301.86935 |     233.78166 |     347.38507 |     269.03113 |    1940.01636 |     301.86935 |     347.38507 |       0.48003 |       0.98420 |       0.15392 |       0.00002 |      -0.00214 |       0.01383 |       0.00038 |      -0.01064 |       0.00013 |       0.00003 |       8.21668 |       0.14688 |     337.23730 |     342.10934 |     342.17111 |       4.87203 |      26.21897 |     -80.42635 |   17539.13672 |   17497.82227 |   17496.38086 |      25.00000 |     -82.00000 | 
    302.03058 |     233.78223 |     347.57062 |     269.03180 |    1936.36511 |     302.03058 |     347.57062 |       0.48034 |       0.98419 |       0.15375 |       0.00002 |      -0.00065 |       0.01389 |       0.00033 |      -0.01135 |       0.00016 |       0.00005 |       8.20582 |       0.14685 |     337.23734 |     342.10922 |     342.17087 |       4.87189 |      26.22026 |     -80.42695 |   17571.49414 |   17530.54102 |   17528.76367 |      25.00000 |     -82.00000 | 
    302.19116 |     233.78223 |     347.75540 |     269.03180 |    1932.66516 |     302.19116 |     347.75540 |       0.48066 |       0.98421 |       0.15359 |       0.00002 |      -0.00225 |       0.01387 |       0.00030 |      -0.01049 |       0.00016 |      -0.00002 |       8.19514 |       0.14684 |     337.23734 |     342.10907 |     342.17072 |       4.87174 |      26.22154 |     -80.42755 |   17603.69336 |   17562.83398 |   17560.96094 |      25.00000 |     -82.00000 | 
    302.35178 |     233.78223 |     347.94022 |     269.03180 |    1928.95422 |     302.35178 |     347.94022 |       0.48097 |       0.98419 |       0.15342 |       0.00002 |      -0.00262 |       0.01385 |       0.00048 |      -0.01152 |       0.00015 |      -0.00003 |       8.18404 |       0.14682 |     337.23727 |     342.10889 |     342.17059 |       4.87161 |      26.22283 |     -80.42815 |   17635.87695 |   17595.00781 |   17593.15039 |      25.00000 |     -82.00000 | 
    302.51294 |     233.78279 |     348.12567 |     269.03244 |    1925.14490 |     302.51297 |     348.12570 |       0.48129 |       0.98418 |       0.15325 |       0.00002 |      -0.00042 |       0.01402 |       0.00048 |      -0.01029 |       0.00016 |       0.00005 |       8.17298 |       0.14680 |     337.23727 |     342.10873 |     342.17059 |       4.87147 |      26.22412 |     -80.42875 |   17668.04492 |   17626.58789 |   17625.30664 |      25.00000 |     -82.00000 | 
    302.67413 |     233.78279 |     348.31119 |     269.03244 |    1921.33679 |     302.67413 |     348.31119 |       0.48160 |       0.98429 |       0.15310 |       0.00002 |      -0.00550 |       0.01401 |       0.00029 |      -0.01149 |       0.00018 |       0.00003 |       8.16264 |       0.14680 |     337.23730 |     342.10864 |     342.17020 |       4.87132 |      26.22540 |     -80.42935 |   17700.15625 |   17658.89844 |   17657.43555 |      25.00000 |     -82.00000 | 
    302.83524 |     233.78336 |     348.49658 |     269.03308 |    1917.56726 |     302.83524 |     348.49658 |       0.48192 |       0.98430 |       0.15293 |       0.00002 |      -0.00287 |       0.01399 |       0.00036 |      -0.01003 |       0.00017 |      -0.00003 |       8.15192 |       0.14679 |     337.23727 |     342.10846 |     342.17004 |       4.87118 |      26.22670 |     -80.42995 |   17732.21680 |   17690.44922 |   17689.50391 |      25.00000 |     -82.00000 | 
    302.99576 |     233.78336 |     348.68130 |     269.03308 |    1913.84448 |     302.99576 |     348.68130 |       0.48223 |       0.98428 |       0.15276 |       0.00002 |      -0.00250 |       0.01393 |       0.00040 |      -0.01104 |       0.00016 |       0.00002 |       8.14095 |       0.14677 |     337.23724 |     342.10828 |     342.16995 |       4.87104 |      26.22798 |     -80.43056 |   17764.09570 |   17722.27734 |   17721.38086 |      25.00000 |     -82.00000 | 
